method,schedule_family,schedule_action,schedule_cell_count,samples,speedup_geomean,speedup_mean,speedup_min,speedup_max,ssim_mean,ssim_min,ssim_p05,psnr_mean_db,requested_quant_mean,requested_cache_mean,executed_cache_mean,cache_fallbacks_mean,cache_refreshes_mean
c_s11-11_b09-11,single_cell,C,1,1,1.0024917153532258,1.0024917153532258,1.0024917153532258,1.0024917153532258,0.9657579185326037,0.9657579185326037,0.9657579185326037,33.28796725952387,0.0,6.0,6.0,0.0,6.0
c_s11-11_b12-14,single_cell,C,1,1,0.992078253883475,0.992078253883475,0.992078253883475,0.992078253883475,0.9639797086517402,0.9639797086517402,0.9639797086517402,32.86522943692464,0.0,6.0,6.0,0.0,6.0
c_s11-11_b15-17,single_cell,C,1,1,0.9833629361221115,0.9833629361221115,0.9833629361221115,0.9833629361221115,0.9641148053935512,0.9641148053935512,0.9641148053935512,32.89768667316037,0.0,6.0,6.0,0.0,6.0
c_s11-11_b18-20,single_cell,C,1,1,0.9976908180938234,0.9976908180938234,0.9976908180938234,0.9976908180938234,0.96785110947027,0.96785110947027,0.96785110947027,33.645315095882665,0.0,6.0,6.0,0.0,6.0
c_s11-11_b21-23,single_cell,C,1,1,0.9999945120760306,0.9999945120760306,0.9999945120760306,0.9999945120760306,0.9692587561639985,0.9692587561639985,0.9692587561639985,34.39679667128269,0.0,6.0,6.0,0.0,6.0
c_s11-11_b24-26,single_cell,C,1,1,1.0008499338402819,1.0008499338402819,1.0008499338402819,1.0008499338402819,0.9685167613828182,0.9685167613828182,0.9685167613828182,34.1117704688109,0.0,6.0,6.0,0.0,6.0
c_s11-11_b27-29,single_cell,C,1,1,0.9933294067331843,0.9933294067331843,0.9933294067331843,0.9933294067331843,0.9686519039815984,0.9686519039815984,0.9686519039815984,34.02256653982779,0.0,6.0,6.0,0.0,6.0
c_s12-12_b00-02,single_cell,C,1,1,0.9878614687735812,0.9878614687735812,0.9878614687735812,0.9878614687735812,0.9706981853998026,0.9706981853998026,0.9706981853998026,34.683680629833525,0.0,6.0,6.0,0.0,6.0
c_s12-12_b03-05,single_cell,C,1,1,0.9997610031664333,0.9997610031664333,0.9997610031664333,0.9997610031664333,0.9704986388727886,0.9704986388727886,0.9704986388727886,34.44202184244044,0.0,6.0,6.0,0.0,6.0
c_s12-12_b06-08,single_cell,C,1,1,0.9911267443361766,0.9911267443361766,0.9911267443361766,0.9911267443361766,0.9702210126614934,0.9702210126614934,0.9702210126614934,34.34480834279756,0.0,6.0,6.0,0.0,6.0
c_s12-12_b09-11,single_cell,C,1,1,1.0011043733507465,1.0011043733507465,1.0011043733507465,1.0011043733507465,0.96853075266251,0.96853075266251,0.96853075266251,33.911422589856734,0.0,6.0,6.0,0.0,6.0
c_s12-12_b12-14,single_cell,C,1,1,0.9719386929731271,0.9719386929731271,0.9719386929731271,0.9719386929731271,0.9696236645708671,0.9696236645708671,0.9696236645708671,34.34590860709334,0.0,6.0,6.0,0.0,6.0
c_s12-12_b15-17,single_cell,C,1,1,0.9980989815030992,0.9980989815030992,0.9980989815030992,0.9980989815030992,0.9666140650758831,0.9666140650758831,0.9666140650758831,33.34198925231342,0.0,6.0,6.0,0.0,6.0
c_s12-12_b18-20,single_cell,C,1,1,1.001191057647799,1.001191057647799,1.001191057647799,1.001191057647799,0.9679180693583461,0.9679180693583461,0.9679180693583461,33.81693506815723,0.0,6.0,6.0,0.0,6.0
c_s12-12_b21-23,single_cell,C,1,1,0.9926143417421591,0.9926143417421591,0.9926143417421591,0.9926143417421591,0.9708916251715264,0.9708916251715264,0.9708916251715264,34.65838160402334,0.0,6.0,6.0,0.0,6.0
c_s12-12_b24-26,single_cell,C,1,1,0.9986494297495871,0.9986494297495871,0.9986494297495871,0.9986494297495871,0.9712605285985978,0.9712605285985978,0.9712605285985978,34.84632489954076,0.0,6.0,6.0,0.0,6.0
c_s12-12_b27-29,single_cell,C,1,1,0.9998227937969209,0.9998227937969209,0.9998227937969209,0.9998227937969209,0.9712351619189429,0.9712351619189429,0.9712351619189429,34.756128067009264,0.0,6.0,6.0,0.0,6.0
c_s13-13_b00-02,single_cell,C,1,1,1.001113040351154,1.001113040351154,1.001113040351154,1.001113040351154,0.9697970230424784,0.9697970230424784,0.9697970230424784,34.07411002906389,0.0,6.0,6.0,0.0,6.0
c_s13-13_b03-05,single_cell,C,1,1,0.99702420119211,0.99702420119211,0.99702420119211,0.99702420119211,0.9709746135793085,0.9709746135793085,0.9709746135793085,34.625661381198306,0.0,6.0,6.0,0.0,6.0
