case,head,method,requested_token_budget,actual_critical_tokens,rank,keys,representation_ratio_full_n,attention_rel_fro,output_rel_l2,output_cosine,critical_mass
f81,0,block128_oracle,128,128,32,32760,0.005860805860805861,0.1859678477048874,0.0730031430721283,0.9973317384719849,0.015522944740951061
f81,0,block128_oracle,128,128,64,32760,0.007814407814407814,0.15426509082317352,0.05244079604744911,0.9986239671707153,0.015522944740951061
f81,0,token_topk_oracle,256,256,8,32760,0.008302808302808303,0.31079164147377014,0.16086514294147491,0.9869988560676575,0.04735109210014343
f81,0,token_topk_oracle,256,256,16,32760,0.008791208791208791,0.2593684494495392,0.07279065251350403,0.9973487854003906,0.04735109210014343
f81,0,token_topk_oracle,256,256,32,32760,0.009768009768009768,0.23685605823993683,0.05292462185025215,0.9985988140106201,0.04735109210014343
f81,0,token_topk_oracle,256,256,64,32760,0.011721611721611722,0.2119254767894745,0.0432560034096241,0.9990640878677368,0.04735109210014343
f81,0,block16_oracle,256,256,8,32760,0.008302808302808303,0.32509732246398926,0.20785224437713623,0.9781612753868103,0.03434126451611519
f81,0,block16_oracle,256,256,16,32760,0.008791208791208791,0.260887086391449,0.10838207602500916,0.9941093921661377,0.03434126451611519
f81,0,block16_oracle,256,256,32,32760,0.009768009768009768,0.23039379715919495,0.07347596436738968,0.997296929359436,0.03434126451611519
f81,0,block16_oracle,256,256,64,32760,0.011721611721611722,0.20033124089241028,0.054770730435848236,0.9984990954399109,0.03434126451611519
f81,0,block32_oracle,256,256,8,32760,0.008302808302808303,0.327095627784729,0.20944592356681824,0.977820873260498,0.03250553831458092
f81,0,block32_oracle,256,256,16,32760,0.008791208791208791,0.25976118445396423,0.10482033342123032,0.9944912195205688,0.03250553831458092
f81,0,block32_oracle,256,256,32,32760,0.009768009768009768,0.22749647498130798,0.07390223443508148,0.9972655177116394,0.03250553831458092
f81,0,block32_oracle,256,256,64,32760,0.011721611721611722,0.19672535359859467,0.05487920716404915,0.9984930753707886,0.03250553831458092
f81,0,block64_oracle,256,256,8,32760,0.008302808302808303,0.3279520571231842,0.21057209372520447,0.97757887840271,0.031103946268558502
f81,0,block64_oracle,256,256,16,32760,0.008791208791208791,0.25876784324645996,0.10488671809434891,0.9944843053817749,0.031103946268558502
f81,0,block64_oracle,256,256,32,32760,0.009768009768009768,0.22544041275978088,0.073900006711483,0.9972655177116394,0.031103946268558502
f81,0,block64_oracle,256,256,64,32760,0.011721611721611722,0.19347557425498962,0.05548933148384094,0.9984593391418457,0.031103946268558502
f81,0,block128_oracle,256,256,8,32760,0.008302808302808303,0.3285916745662689,0.21110232174396515,0.9774643182754517,0.030667463317513466
f81,0,block128_oracle,256,256,16,32760,0.008791208791208791,0.2589974105358124,0.10668325424194336,0.9942931532859802,0.030667463317513466
